Model,AICc.values,deltaAIC,rel.LL,weights,AICc_weight_importance,cum_AICc_weights,evidence_ratio_bestmodel,norm_preference_prob_bestmodel,lambda,R2
skull_box + notwebbed,-266.7351915,0,1,0.147475369,best model,0.147475369,1,0.5,0.889898875,0.896619277
skull_box + skull_geometry + open_water,-266.5564415,0.178749993,0.914502574,0.134866605,non-negligible,0.282341974,1.093490635,0.522328888,0.971622319,0.898933666
skull_box,-266.393543,0.341648496,0.842969714,0.12431727,non-negligible,0.406659244,1.186282239,0.542602514,0.992957724,0.89369271
skull_box + skull_geometry,-265.8869872,0.848204336,0.654357024,0.096501544,non-negligible,0.503160788,1.528217721,0.604464445,0.98338211,0.895629309
skull_box + freshwater,-265.7518828,0.983308708,0.611613731,0.090197961,non-negligible,0.593358749,1.635018884,0.620496078,0.875832849,0.895470752
skull_width,-265.7026283,1.032563249,0.596735314,0.088003761,non-negligible,0.68136251,1.675784853,0.626277876,0.985433835,0.892864225
skull_box + open_water,-264.3408113,2.394380235,0.302041722,0.044543715,non-negligible,0.725906225,3.310800879,0.768024544,0.985802004,0.89380026
skull_box + skull_geometry + notwebbed,-264.3173624,2.417829079,0.298521137,0.044024515,non-negligible,0.76993074,3.349846552,0.770106833,0.93514279,0.896358765
skull_box + terrestrial,-264.2686658,2.466525672,0.291340429,0.042965537,non-negligible,0.812896277,3.432410679,0.774389137,0.920055894,0.893714137
skull_box + skull_geometry + freshwater,-263.504185,3.231006557,0.198790598,0.029316717,non-negligible,0.842212994,5.030418988,0.834174043,0.936793745,0.895407474
skull_box + skull_geometry + open_water + notwebbed,-263.1648656,3.570325936,0.167769718,0.024741901,non-negligible,0.866954895,5.960551246,0.856333218,0.928358372,0.897625174
skull_box + skull_geometry + terrestrial,-263.0788817,3.656309809,0.160709819,0.02370074,non-negligible,0.890655635,6.222395146,0.861541777,0.94506653,0.894906463
skull_box + extremelywebbed,-262.2344603,4.50073121,0.105360697,0.015538108,non-negligible,0.906193743,9.491205232,0.904682067,0.992206113,0.891256867
skull_box + marine,-261.361043,5.374148469,0.068079834,0.010040099,negligible,0.916233841,14.68863748,0.936259602,0.991200974,0.890184443
skull_box + skull_geometry + extremelywebbed,-261.323265,5.411926497,0.066805942,0.009852231,negligible,0.926086072,14.96872836,0.937377606,0.98419551,0.892812803
skull_length,-260.861165,5.87402656,0.05302386,0.007819713,negligible,0.933905786,18.85943426,0.949646098,0.984404484,0.886874772
skull_box + moderatelywebbed,-260.2148867,6.520304791,0.038382548,0.00566048,negligible,0.939566266,26.05350727,0.963036216,0.977721437,0.888761076
skull_box + flippered,-260.0729349,6.662256598,0.035752743,0.005272649,negligible,0.944838915,27.9698823,0.965481392,0.993476243,0.888583512
