Project_name,Species,Side_landmarked,Landmarker,Specimen_number,Clade,Skull_length_mm,Postrostral_skull_length_mm,Skull_width_mm,Skull_height_mm
Acomys_cahirinus_NHMUK_65.789-793,Acomys_cahirinus,right,Catherine,NHMUK_65.789-793,Mammalia,22.8,14.6,11,8.1
Acrobates_pygmaeus_NHMUK_82.7.29.23,Acrobates_pygmaeus,right,Catherine,NHMUK_82.7.29.23-24,Mammalia,18.4,12,12.5,6.8
Actitis_hypoleucos_NMS_Z.1931.43,Actitis_hypoleucos,left,Ethan,NMS_Z.1931.43,Aves,44.3,16.9,12.9,12.2
Alca_torda_NMS_Z.2000.08.105,Alca_torda,left,Ethan,NMS_Z.2000.08.105,Aves,83,38.7,22.6,21.5
Alcedo_atthis_NMS_Unregistered,Alcedo_atthis,left,Ethan,NMS_Unregistered,Aves,59.9,19.5,13.8,12.9
Aldabrachelys_gigantea_NHMUK77.11.12.2_left,Aldabrachelys_gigantea,left,Serjoscha,NHMUK77.11.12.2,Testudinata,147.78,107.9,108.43,51.79
Alligator_mississipiensis_USNM_211233_left,Alligator_mississipiensis,left,Serjoscha,USNM_211233,Crocodylia,551,222,NA,NA
Amblyrhynchus_cristatus_OUMNH11616_right,Amblyrhynchus_cristatus,right,Serjoscha,OUMNH11616,Lepidosauria,51.8,33.9,45.4,22.4
Amyda_cartilaginea_FMNH244117_right,Amyda_cartilaginea,right,Serjoscha,FMNH244117,Testudinata,97.76,73.2,70.23,32.88
Annemys_sp_IVPPV18106_right,Annemys_sp,right,Serjoscha,IVPPV18106,Testudinata,45,39,38.2,14.6
Apalone_spinifera_FMNH22178_left,Apalone_spinifera,left,Serjoscha,FMNH22178,Testudinata,65.95,47.6,41.93,22.02
Aplodontia_rufa_FMNH_57831,Aplodontia_rufa,right,Catherine,FMNH_57831,Mammalia,61.2,39.3,51.9,18.5
Apteryx_hastii_NMS_Z.1913.13.748,Apteryx_hastii,left,Ethan,NMS_Z.1913.13.748,Aves,161.3,38.1662,32.7169,27.1501
Apus_apus_NMS_Z.1931.43,Apus_apus,left,Ethan,NMS_Z.1931.43,Aves,27.9,16.4,14.5,12.5
Aquila_chrysaetos_NMS_Z.1997.29.1,Aquila_chrysaetos,left,Ethan,NMS_Z.1997.29.1,Aves,117.5,59.7,50.9,40.1
Ara_macao_NMS_Z.1931.43,Ara_macao,left,Ethan,NMS_Z.1931.43,Aves,74.6,41.8,48.2,31.5
Ardea_cineria_NMS_Z.2002.64,Ardea_cineria,left,Ethan,NMS_Z.2002.64,Aves,172,51.2,23.3,25.2
Athene_cunicularia_NHMUK_ZOO_S1986.75.13,Athene_cunicularia,left,Ethan,NHMUK_ZOO S/1986.75.13 ,Aves,33.9382,22.2956,26.1367,17.9021
Australochelys_africanus_BP1_4933_right,Australochelys_africanus,right,Serjoscha,BP1_4933,Testudinata,91.1,60,85.6,47
Aythya_fuligula_NHMUK_S1987.27.1,Aythya_fuligula,left,Ethan,NHMUK_S1987.27.1,Aves,85.71,36.22,24.6887,23.742
Balaeniceps_rex_NMS_Unregistered,Balaeniceps_rex,left,Ethan,NMS_Unregistered,Aves,NA,66.6331,74.714,48.004
Balearica_pavonina_NHUKS2016.52.1_left,Balearica_pavonina,left,Serjoscha,NHMUK_S-2016.52.1,Aves,111,48.3,NA,NA
Batagur_baska_NHMUK67.9.28.7_left,Batagur_baska,left,Serjoscha,NHMUK67.9.28.7,Testudinata,81.21,57.9,67.65,33.51
Buteo_buteo_NHMUK_S2007.139.12,Buteo_buteo,left,Ethan,NHMUK_S2007.139.12,Aves,81.18,52.9,35.2558,29.65
Caiman_crocodilus_FMNH_73438_left,Caiman_crocodilus,left,Serjoscha,FMNH_73438,Crocodylia,283,117,NA,NA
Callimico_goeldii_FMNH_58003,Callimico_goeldii,right,Catherine,FMNH_58003,Mammalia,50.4,37,27.4,25.6
Canis_mesomelas_UMZC_K3402,Canis_mesomelas,right,Catherine,UMZC_-K3402,Mammalia,144.4,68.7,52.8,44.3
Caprimulgus_europaeus_NMS_Z_Unreg_cat_num_27,Caprimulgus_europaeus,left,Ethan,NMS_Z._Unreg._cat._num._27,Aves,27180.1,14222.9,14191.9,12921
Caretta_caretta_NHMUK1938.1.9.1_left,Caretta_caretta,left,Serjoscha,NHMUK1938.1.9.1,Testudinata,144.7,106.9,148.49,83.16
Carettochelys_insculpta_NHMUK1903.7.10.1_left,Carettochelys_insculpta,left,Serjoscha,NHMUK1938.1.9.1,Testudinata,103.79,85.3,81.79,35.82
