Model,AICc.values,deltaAIC,rel.LL,weights,AICc_weight_importance,cum_AICc_weights,evidence_ratio_bestmodel,norm_preference_prob_bestmodel,lambda,R2
skull_box + skull_geometry + open_water,-267.7408362,0,1,0.223536858,best model,0.223536858,1,0.5,0.971190415,0.902429308
skull_box + notwebbed,-266.6678636,1.072972693,0.584799429,0.130724227,non-negligible,0.354261084,1.709987989,0.630994674,0.901791426,0.898781363
skull_box,-266.5453559,1.195480304,0.550053269,0.122957179,non-negligible,0.477218264,1.818005738,0.645139119,0.993038601,0.896171968
skull_box + skull_geometry,-266.2591929,1.481643319,0.476722051,0.106564949,non-negligible,0.583783213,2.097658368,0.677175504,0.983549013,0.898315518
skull_box + open_water,-265.0739396,2.666896647,0.263566829,0.058916901,non-negligible,0.642700114,3.794104153,0.791410456,0.985444156,0.896952283
skull_width,-265.0329429,2.707893386,0.258219135,0.057721494,non-negligible,0.700421608,3.872679686,0.794774115,0.983313386,0.894392499
skull_box + skull_geometry + notwebbed,-264.5227907,3.218045505,0.200083049,0.044725936,non-negligible,0.745147544,4.997924632,0.833275664,0.949938897,0.898836808
skull_box + freshwater,-264.4306314,3.310204828,0.191072486,0.042711743,non-negligible,0.787859287,5.23361589,0.839579464,0.871628429,0.896204737
skull_box + skull_geometry + open_water + notwebbed,-264.1026561,3.638180171,0.162173248,0.036251698,non-negligible,0.824110985,6.166245142,0.860456909,0.935324265,0.900891842
skull_box + terrestrial,-263.1412634,4.599572805,0.100280261,0.022416334,non-negligible,0.84652732,9.972052224,0.908859347,0.917516386,0.89469008
skull_box + skull_geometry + freshwater,-262.7435014,4.997334853,0.082194456,0.01837349,negligible,0.86490081,12.1662707,0.924048349,0.946365751,0.896794
skull_box + skull_geometry + terrestrial,-262.4369693,5.30386693,0.070514743,0.015762644,negligible,0.880663454,14.18143146,0.934130059,0.951911049,0.896437927
skull_length,-262.3233809,5.417455372,0.066621516,0.014892364,negligible,0.895555819,15.01016572,0.937539685,0.984975672,0.891127887
skull_box + extremelywebbed,-262.3140903,5.426745924,0.066312759,0.014823346,negligible,0.910379164,15.08005428,0.937811155,0.992077321,0.893706759
skull_box + skull_geometry + extremelywebbed,-261.6931836,6.047652634,0.048614846,0.01086721,negligible,0.921246374,20.56984806,0.953638987,0.983895717,0.895568817
skull_box + marine,-261.5197141,6.221122106,0.044575939,0.009964365,negligible,0.93121074,22.43362732,0.957326282,0.992149888,0.892753784
skull_box + skull_geometry + marine,-260.4436146,7.297221631,0.02602726,0.005818052,negligible,0.937028792,38.42125475,0.974632974,0.984501414,0.894092251
skull_box + flippered,-260.3530351,7.387801134,0.024874787,0.005560432,negligible,0.942589223,40.20134959,0.97572895,0.993749039,0.891338665
skull_box + full,-260.1223698,7.618466431,0.022165168,0.004954732,negligible,0.947543955,45.11583148,0.978315473,0.988878231,0.891056677
skull_box + incomplete,-260.1223698,7.618466431,0.022165168,0.004954732,negligible,0.952498687,45.11583148,0.978315473,0.988878231,0.891056677
skull_box + vertical,-260.0028296,7.738006598,0.020879169,0.004667264,negligible,0.957165951,47.89462566,0.979547854,0.993754576,0.890910252
skull_box + horizontal,-260.0028296,7.738006598,0.020879169,0.004667264,negligible,0.961833215,47.89462566,0.979547854,0.993754576,0.890910252
skull_box + moderatelywebbed,-259.9440479,7.796788375,0.020274442,0.004532085,negligible,0.9663653,49.32318171,0.980128442,0.9825399,0.890838178
skull_box + skull_geometry + flippered,-259.8555177,7.885318506,0.019396566,0.004335847,negligible,0.970701148,51.55551833,0.980972502,0.984867294,0.893390114
skull_box + skull_geometry + incomplete,-259.5262146,8.214621669,0.016451957,0.003677619,negligible,0.974378767,60.78304194,0.983814329,0.981486062,0.892994923
skull_box + skull_geometry + full,-259.5262146,8.214621669,0.016451957,0.003677619,negligible,0.978056385,60.78304194,0.983814329,0.981486062,0.892994923
skull_box + skull_geometry + horizontal,-259.3397109,8.401125353,0.014987142,0.003350179,negligible,0.981406564,66.72386442,0.985234156,0.98458716,0.892770453
skull_box + skull_geometry + vertical,-259.3397109,8.401125353,0.014987142,0.003350179,negligible,0.984756742,66.72386442,0.985234156,0.984587159,0.892770453
skull_box + skull_geometry + moderatelywebbed,-259.125496,8.615340257,0.013464885,0.003009898,negligible,0.98776664,74.26725404,0.98671401,0.976594481,0.892512051
skull_box + digging,-259.1007965,8.640039794,0.013299619,0.002972955,negligible,0.990739595,75.19012433,0.986874939,0.9936286,0.889798983
skull_box + skull_geometry + digging,-258.6988231,9.042013101,0.010878069,0.002431649,negligible,0.993171245,91.92808168,0.98923899,0.984163484,0.891995508
skull_box + minorlywebbed,-258.1569011,9.583935114,0.008296118,0.001854488,negligible,0.995025733,120.5383015,0.991772141,0.990415043,0.88862402
skull_box + skull_geometry + minorlywebbed,-258.0011766,9.739659634,0.007674671,0.001715572,negligible,0.996741305,130.2987404,0.992383781,0.980368611,0.891145564
skull_box + bottom_dwelling,-257.5253088,10.21552747,0.006049596,0.001352308,negligible,0.998093613,165.3002857,0.993986781,0.99187653,0.887830824
skull_box + skull_geometry + bottom_dwelling,-257.0416258,10.69921048,0.004750026,0.001061806,negligible,0.999155418,210.5251744,0.99527243,0.982768673,0.889965603
skull_box + skull_geometry + freshwater + terrestrial,-256.5838557,11.15698053,0.003778265,0.000844582,negligible,1,264.6717203,0.996235956,0.953014832,0.892155253
skull_height,-218.8350168,48.90581942,2.40E-11,5.37E-12,negligible,1,41664267764,1,0.930478417,0.822528999
skull_geometry,-89.46472851,178.2761077,1.94E-39,4.34E-40,negligible,1,5.15E+38,1,0.97914327,0.240693159
flippered,-67.83083808,199.9099982,3.89E-44,8.70E-45,negligible,1,2.57E+43,1,0.822850926,0.031756712
1,-67.05219754,200.6886387,2.64E-44,5.89E-45,negligible,1,3.79E+43,1,0.880246746,0
marine,-66.76700762,200.9738286,2.29E-44,5.11E-45,negligible,1,4.37E+43,1,0.847736169,0.020113707
open_water,-66.5204161,201.2204201,2.02E-44,4.52E-45,negligible,1,4.95E+43,1,0.843414691,0.017394979
full,-64.93403304,202.8068032,9.14E-45,2.04E-45,negligible,1,1.09E+44,1,0.833407726,-0.000276517
incomplete,-64.93403304,202.8068032,9.14E-45,2.04E-45,negligible,1,1.09E+44,1,0.833407726,-0.000276517
notwebbed,-64.1607578,203.5800784,6.21E-45,1.39E-45,negligible,1,1.61E+44,1,0.843674056,-0.00900527
extremelywebbed,-63.48511479,204.2557215,4.43E-45,9.90E-46,negligible,1,2.26E+44,1,0.886210194,-0.016694277
minorlywebbed,-63.43794707,204.3028892,4.33E-45,9.67E-46,negligible,1,2.31E+44,1,0.850964465,-0.017233242
vertical,-62.996297,204.7445393,3.47E-45,7.76E-46,negligible,1,2.88E+44,1,0.883506717,-0.022293665
horizontal,-62.996297,204.7445393,3.47E-45,7.76E-46,negligible,1,2.88E+44,1,0.883506717,-0.022293665
terrestrial,-62.73627983,205.0045564,3.05E-45,6.81E-46,negligible,1,3.28E+44,1,0.807301578,-0.025284705
digging,-62.43828175,205.3025545,2.62E-45,5.87E-46,negligible,1,3.81E+44,1,0.879960138,-0.028723413
moderatelywebbed,-61.53984286,206.2009934,1.68E-45,3.74E-46,negligible,1,5.97E+44,1,0.878931806,-0.039160782
freshwater,-61.2044575,206.5363787,1.42E-45,3.17E-46,negligible,1,7.06E+44,1,0.861778108,-0.043084117
bottom_dwelling,-60.71910389,207.0217324,1.11E-45,2.48E-46,negligible,1,9.00E+44,1,0.880025012,-0.048788023
