LM,V1,V2,V3
ASC 2,1,2,3
ASC 3,2,3,4
ASC 4,3,4,5
ASC 5,4,5,6
ASC 6,5,6,7
ASC 7,6,7,8
ASC 8,7,8,9
ASC 9,8,9,10
ASC 10,9,10,11
ASC 11,10,11,12
ASC 12,11,12,13
ASC 13,12,13,14
ASC 14,13,14,15
ASC 15,14,15,16
ASC 16,15,16,17
ASC 17,16,17,18
ASC 18,17,18,19
ASC 19,18,19,20
ASC 20,19,20,21
ASC 21,20,21,22
ASC 22,21,22,23
ASC 23,22,23,24
ASC 24,23,24,25
ASC 25,24,25,26
ASC 26,25,26,27
ASC 27,26,27,28
ASC 28,27,28,29
ASC 29,28,29,30
ASC 30,29,30,31
ASC 31,30,31,32
ASC 32,31,32,33
ASC 33,32,33,34
ASC 34,33,34,35
ASC 35,34,35,36
ASC 36,35,36,37
ASC 37,36,37,38
ASC 38,37,38,39
ASC 39,38,39,40
ASC 40,39,40,41
ASC 41,40,41,42
ASC 42,41,42,43
ASC 43,42,43,44
ASC 44,43,44,45
ASC 45,44,45,46
ASC 46,45,46,47
ASC 47,46,47,48
ASC 48,47,48,49
ASC 49,48,49,50
ASC 50,49,50,51
ASC 51,50,51,52
ASC 52,51,52,53
ASC 53,52,53,54
ASC 54,53,54,55
ASC 55,54,55,56
ASC 56,55,56,57
ASC 57,56,57,58
ASC 58,57,58,59
ASC 59,58,59,60
ASC 60,59,60,61
ASC 61,60,61,62
ASC 62,61,62,63
ASC 63,62,63,64
ASC 64,63,64,65
ASC 65,64,65,66
ASC 66,65,66,67
ASC 67,66,67,68
ASC 68,67,68,69
ASC 69,68,69,70
ASC 70,69,70,71
ASC 71,70,71,72
ASC 72,71,72,73
ASC 73,72,73,74
ASC 74,73,74,75
ASC 75,74,75,76
ASC 76,75,76,77
ASC 77,76,77,78
ASC 78,77,78,79
ASC 79,78,79,80
ASC 80,79,80,81
ASC 81,80,81,82
LSC 2,85,86,87
LSC 3,86,87,88
LSC 4,87,88,89
LSC 5,88,89,90
LSC 6,89,90,91
LSC 7,90,91,92
LSC 8,91,92,93
LSC 9,92,93,94
LSC 10,93,94,95
LSC 11,94,95,96
LSC 12,95,96,97
LSC 13,96,97,98
LSC 14,97,98,99
LSC 15,98,99,100
LSC 16,99,100,101
LSC 17,100,101,102
LSC 18,101,102,103
LSC 19,102,103,104
LSC 20,103,104,105
LSC 21,104,105,106
LSC 22,105,106,107
LSC 23,106,107,108
LSC 24,107,108,109
LSC 25,108,109,110
LSC 26,109,110,111
LSC 27,110,111,112
LSC 28,111,112,113
LSC 29,112,113,114
LSC 30,113,114,115
LSC 31,114,115,116
LSC 32,115,116,117
LSC 33,116,117,118
LSC 34,117,118,119
LSC 35,118,119,120
LSC 36,119,120,121
LSC 37,120,121,122
LSC 38,121,122,123
LSC 39,122,123,124
LSC 40,123,124,125
LSC 41,124,125,126
LSC 42,125,126,127
LSC 43,126,127,128
LSC 44,127,128,129
LSC 45,128,129,130
LSC 46,129,130,131
LSC 47,130,131,132
LSC 48,131,132,133
LSC 49,132,133,134
LSC 50,133,134,135
LSC 51,134,135,136
LSC 52,135,136,137
LSC 53,136,137,138
LSC 54,137,138,139
LSC 55,138,139,140
LSC 56,139,140,141
LSC 57,140,141,142
LSC 58,141,142,143
LSC 59,142,143,144
LSC 60,143,144,145
LSC 61,144,145,146
LSC 62,145,146,147
LSC 63,146,147,148
LSC 64,147,148,149
LSC 65,148,149,150
LSC 66,149,150,151
LSC 67,150,151,152
LSC 68,151,152,153
LSC 69,152,153,154
LSC 70,153,154,155
LSC 71,154,155,156
LSC 72,155,156,157
LSC 73,156,157,158
LSC 74,157,158,159
LSC 75,158,159,160
LSC 76,159,160,161
LSC 77,160,161,162
PSC 2,165,166,167
PSC 3,166,167,168
PSC 4,167,168,169
PSC 5,168,169,170
PSC 6,169,170,171
PSC 7,170,171,172
PSC 8,171,172,173
PSC 9,172,173,174
PSC 10,173,174,175
PSC 11,174,175,176
PSC 12,175,176,177
PSC 13,176,177,178
PSC 14,177,178,179
PSC 15,178,179,180
PSC 16,179,180,181
PSC 17,180,181,182
PSC 18,181,182,183
PSC 19,182,183,184
PSC 20,183,184,185
PSC 21,184,185,186
PSC 22,185,186,187
PSC 23,186,187,188
PSC 24,187,188,189
PSC 25,188,189,190
PSC 26,189,190,191
PSC 27,190,191,192
PSC 28,191,192,193
PSC 29,192,193,194
PSC 30,193,194,195
PSC 31,194,195,196
PSC 32,195,196,197
PSC 33,196,197,198
PSC 34,197,198,199
PSC 35,198,199,200
PSC 36,199,200,201
PSC 37,200,201,202
PSC 38,201,202,203
PSC 39,202,203,204
PSC 40,203,204,205
PSC 41,204,205,206
PSC 42,205,206,207
PSC 43,206,207,208
PSC 44,207,208,209
PSC 45,208,209,210
PSC 46,209,210,211
PSC 47,210,211,212
PSC 48,211,212,213
PSC 49,212,213,214
PSC 50,213,214,215
PSC 51,214,215,216
PSC 52,215,216,217
PSC 53,216,217,218
PSC 54,217,218,219
PSC 55,218,219,220
PSC 56,219,220,221
PSC 57,220,221,222
PSC 58,221,222,223
PSC 59,222,223,224
PSC 60,223,224,225
PSC 61,224,225,226
PSC 62,225,226,227
PSC 63,226,227,228
PSC 64,227,228,229
PSC 65,228,229,230
PSC 66,229,230,231
PSC 67,230,231,232
PSC 68,231,232,233
PSC 69,232,233,234
