Count,Specimen_name,Species_ID,Replicates_total,Replicates_endosseous,Tree_names,Tree_node_number,Ear_type,Specimen_type,Suborder,Family,Subfamily,Plotting_group,Plotting_habitat,Habitual_habitat,Habitat_general,Fossil_marine,Forelimb,Forelimb1,Forelimb2,Forelimb3,Forelimb4,Forelimb5,Forelimb6,Skull_length_mm,Skull_width_mm,Skull_height_mm,logV_mm3,Carapax_neck_ratio,Neck_length_categorical,Retraction_type,Retratction_ability
1,Adocus_lineolatus_CMM60-15_left,Adocus_lineolatus,1,1,Adocus_lineolatus,97,endosseous,fossil,Cryptodira,Trionychia,NA,Trionychia,freshwater,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,66.15,60.32,26.25,5.0201,38.91,intermediate,vertical,full
2,Aldabrachelys_gigantea_NHMUK77.11.12.2_left,Aldabrachelys_gigantea,1,1,Aldabrachelys_gigantea,48,endosseous,extant,Cryptodira,Testudinoidea,Testudinidae,Testudinidae,terrestrial,terrestrial_walking,terrestrial,NA,not webbed - 0,0,0,0,0,0,0,147.78,108.43,51.79,5.919,NA,NA,vertical,full
3,Allaeochelys_libyca_BSPG1991II130_left,Allaeochelys_libyca,1,1,Allaeochelys_libyca,100,endosseous,fossil,Cryptodira,Trionychia,Carettochelyidae,Trionychia,freshwater,NA,freshwater,no,NA,NA,NA,NA,NA,NA,NA,62,46.5,25,4.8578,NA,NA,vertical,full
4,Allopleuron_hofmanni_NHMUK4213_left,Allopleuron_hofmanni,1,1,Allopleuron_hofmanni,75,endosseous,fossil,Cryptodira,Chelonioidea,Dermochelyidae,Chelonioidea,marine,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,280,187.6,131.9,6.8406,41.67,intermediate,vertical,incomplete
5,Amyda_cartilaginea_FMNH244117_right,Amyda_cartilaginea,1,1,Amyda_cartilaginea,107,endosseous,extant,Cryptodira,Trionychia,Trionychidae:Trionychinae,Trionychia,freshwater,bottom_dwelling,freshwater,NA,extensive - 3,3,3,2,2,1,1,97.76,70.23,32.88,5.3536,100.16,extreme,vertical,full
6,Annemys_sp_IVPPV18106_right,Annemys_sp,1,1,Annemys_sp,11,endosseous,fossil,Stem,Xinjiangchelyidae,NA,Xinjiangchelyidae,freshwater,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,45,38.2,14.6,4.3996,NA,NA,none,incomplete
7,Apalone_mutica_PCHP2746_left,Apalone_mutica,1,1,Apalone_mutica,105,endosseous,extant,Cryptodira,Trionychia,Trionychidae:Trionychinae,Trionychia,freshwater,bottom_dwelling,freshwater,NA,extensive - 3,3,3,2,2,1,1,60.74,39.1,18.48,4.6424,89.86,extreme,vertical,full
8,Apalone_spinifera_FMNH22178_left,Apalone_spinifera,3,2,Apalone_spinifera,106,endosseous,extant,Cryptodira,Trionychia,Trionychidae:Trionychinae,Trionychia,freshwater,bottom_dwelling,freshwater,NA,extensive - 3,3,3,2,2,1,1,65.95,41.93,22.02,4.7846,90.2,extreme,vertical,full
9,Apalone_spinifera_R12970_left_endosseous,Apalone_spinifera,0,0,NA,106,endosseous,extant,Cryptodira,Trionychia,Trionychidae:Trionychinae,Trionychia,freshwater,bottom_dwelling,freshwater,NA,extensive - 3,3,3,2,2,1,1,26.3,17.6,9.6,3.6477,90.2,extreme,vertical,full
10,Apalone_spinifera_R12970_left_membranous,Apalone_spinifera,0,0,NA,106,membranous,extant,Cryptodira,Trionychia,Trionychidae:Trionychinae,Trionychia,freshwater,bottom_dwelling,freshwater,NA,extensive - 3,3,3,2,2,1,1,26.3,17.6,9.6,3.6477,90.2,extreme,vertical,full
